,text,coarse_label,fine_label
509,"What household facility contains a float ball , ballcock , and overflow tube ?",1,13
510,What was the name of Betty Boop 's dog ?,1,2
511,What fraction of a beaver 's life is spent swimming ?,5,45
512,What was the Bridge of San Luis Rey made of ?,1,18
513,What do economists do ?,2,25
514,What country has the largest sheep population ?,4,33
515,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?",2,25
516,What country is the world 's largest importer of cognac ?,4,33
517,How many years is Johnnie Walker Black Label aged ?,5,38
518,What does SIDS stand for ?,0,1
519,What is Grenada 's main commodity export ?,1,13
520,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?",5,41
521,What makes a clitoris sensitive ?,2,27
522,"What country has the most time zones , with 11 ?",4,33
523,What `` magic '' does Mandrake employ ?,1,13
524,Who is the president of Stanford University ?,3,29
525,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?,3,29
526,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?",1,13
527,What city is Logan Airport in ?,4,32
528,What is a nanometer ?,2,24
529,How many innings are there in a regulation softball game ?,5,38
530,When did CNN go on the air ?,5,39
531,What is the largest city on the Great Lakes ?,4,32
532,What is the telephone number for the University of Kentucky ?,5,37
533,Who invented baseball ?,3,29
534,How many wives did Brigham Young have ?,5,38
535,What product on the market is good for hiding facial scars ?,1,15
536,How long is the Coney Island boardwalk ?,5,40
537,What city gained renown for its pea-soup fogs ?,4,32
538,What does `` Janelle '' mean ?,2,24
539,How do I get another city 's newspaper ?,2,26
540,Name a movie about the Sioux Indians starring Kevin Costner .,1,5
541,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?",3,29
542,What are the distinct physical characterstics of the Arabian horse ?,2,25
543,What is a fear of thunder ?,1,7
544,What animal has killed the most people ?,1,2
545,How many colleges are in Wyoming ?,5,38
546,What Russian seaport has a name meaning `` Lord of the East '' ?,4,32
547,Where can stocks be traded on-line ?,4,35
548,When was the Battle of Hastings ?,5,39
549,What kind of file has the extension .dbf ?,1,13
550,When did Muhammad live ?,5,39
551,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?",1,21
552,What is a wop ?,2,24
553,Where do rocks come from ?,2,25
554,How do I stop background noise in a car stereo ?,2,26
555,Where do people mountain climb in Nepal ?,4,34
556,What is the best college in the country ?,3,28
557,What is viscosity ?,2,24
558,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?,1,5
559,What are the Nordic nations ?,4,33
560,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?,4,35
561,What U.S. state borders Illinois to the north ?,4,36
562,Name a film in which Jude Law acted .,1,5
563,What is the temperature for baking Peachy Oat Muffins ?,5,47
564,What is a fear of bees ?,1,7
565,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?,1,5
566,What is a green bog ?,2,24
567,Where did the myth of Santa Claus originate ?,4,35
568,What does a chairbound basophobic fear ?,1,13
569,What city is served by Logan International Airport ?,4,32
570,What wrestling star became `` The Incredible Hulk '' ?,3,29
571,What attracts tourists to Reims ?,4,35
572,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?,1,17
573,What fastener did Whitcomb Judson patent in 1893 ?,1,13
574,What 's an auberge in France ?,2,24
575,Who was the star of the 1965 Broadway hit Golden Boy ?,3,29
576,Where is Procter & Gamble based in the U.S. ?,4,35
577,What army was founded by William Booth and his wife Catherine ?,3,28
578,What does ribavirin consist of ?,1,18
579,Name the soft drink that is `` number one in the sun . '',1,9
580,What is the web address of the list of e-mail addresses of members of the House of Representatives ?,4,35
581,What was her real name ?,3,29
582,Why are the ears your center of balance ?,2,27
583,Who invented the toothbrush ?,3,29
584,What was the name of that popular song the Creeps sang ?,1,5
585,Where is the Abominable Snowman said to wander ?,4,35
586,What is a fear of being alone ?,1,7
587,How many dots make up the symbol for `` because '' ?,5,38
588,What do you get by adding Lactobacillus bulgaricus to milk ?,1,9
589,"When reading classified ads , what does EENTY : other stand for ?",0,1
590,How many hearts does an octopus have ?,5,38
591,What plant has the largest seed ?,1,14
592,What was the only country you were allowed to drive into Israel from in 1979 ?,4,33
593,What 's approaching when a cyclist shouts : `` Oil '' ?,1,13
594,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?",3,29
595,What kind of sport is often associated with hooligans ?,1,17
596,What video game hero do some of his fans call Chomper ?,3,29
597,How many holes are there in a tenpin bowling ball ?,5,38
598,What is the longest word in the English language ?,1,23
599,In What city or state do the most gay men live in ?,4,35
600,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?",3,29
601,What is `` the bear of beers '' ?,1,2
602,Name the operating system that runs on IBM-compatible machines .,1,13
603,What does the name `` Justin '' mean ?,2,24
604,What percentage of the body is muscle ?,5,45
605,What color of dry wine should be served with veal roasts and chops ?,1,4
606,What is a golf ball made of ?,1,18
607,What is the Amish religion ?,2,24
608,What does an average daycare provider get paid in New England ?,5,41
609,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,3,28
610,Who played the Ringo Kid in the 1939 film Stagecoach ?,3,29
611,Who died 1 feet from where John F. Kennedy did ?,3,29
612,What is the `` coppertop '' battery ?,2,24
613,What sign is The Water Carrier the zodiacal symbol for ?,1,19
614,What animals do you find in the stock market ?,1,2
615,What is color ?,2,24
616,When is the site www.questions.com going to open ?,5,39
617,What did Shostakovich write for Rostropovich ?,1,5
618,What first name was Nipsy Russell given at birth ?,3,29
619,How can I get some free technical information on Electric Vehicle ?,2,26
620,Who is the youngest of the Beatles ?,3,29
621,How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?,2,26
622,What is a Jellicle Cat ?,2,24
623,Where can I find the best free evidence for debate about Russia ?,4,35
624,What is Bill Gates of Microsoft E-mail address ?,4,35
625,What is the second hardest substance ?,1,18
626,Why did several San Diego schools stop serving apples to students ?,2,27
627,What Russian city boasts the Hermitage Museum ?,4,32
628,When is Bastille Day ?,5,39
629,What makes a tornado turn ?,2,27
630,How many shots can a stock M16 hold ?,5,38
631,What two colors are you blind to if you suffer from protanopia ?,1,4
632,Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?,2,27
633,Who is Coronado ?,3,31
634,What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?,1,5
635,What is artificial intelligence ?,2,24
636,What do flatfish eat ?,1,9
637,Who was the first Holy Roman Emperor ?,3,29
638,What can I use to remove the stubborn gummed labels from some diskettes ?,1,13
639,What day of the week sees the most fatal car accidents ?,5,39
640,"What is the origin of the word , magic ?",2,25
641,What sport do you shag flies in ?,1,17
642,What is white chocolate ?,2,24
643,Where is Trinidad ?,4,35
644,Name the organization that is presided by a Security Council .,3,28
645,"Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?",3,29
646,What kind of wine is Spumante ?,1,9
647,Who portrayed portly criminologist Carl Hyatt on Checkmate ?,3,29
648,How do you say I love you in Spanish ?,1,21
649,What does the name Gina mean ?,2,24
650,What is the most advanced handheld calculator in the world ?,1,15
651,How fast is light ?,5,46
652,What is the belt of low pressure around the equator called ?,1,21
653,What are shooting stars ?,2,24
654,Whom did the Chicago Bulls beat in the 1993 championship ?,3,28
655,When was the first American encyclopedia published ?,5,39
656,What 's the tallest building in New York City ?,4,35
657,How is Easter Sunday 's date determined ?,2,26
658,What is the Motto for the State of Maryland ?,2,25
659,Who is Desmond Tutu ?,3,31
660,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,4,35
661,Name a tiger that is extinct .,1,2
662,How many quarters equal a pound ?,5,38
663,What kind of books does Fodor 's publish ?,1,5
664,"What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?",3,29
665,What chapter of the Bible has the most verses ?,5,42
666,Who is the worst US President ever ?,3,29
667,What Asian leader was known as The Little Brown Saint ?,3,29
668,What is the abbreviated expression for the National Bureau of Investigation ?,0,0
669,How fast does the fastest car go ?,5,46
670,What is the highest mountain in the world ?,4,34
671,What arch can you see from the Place de la Concorde ?,4,35
672,Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?,3,29
673,How long should a person wash their hands before they are clean ?,5,44
674,Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?,4,35
675,Which is the wealthiest country in the world ?,4,33
676,How can I find a phone number of someone if I only know their email address ?,2,26
677,How can you contact play producers and promoters on-line ?,2,26
678,Who is the monarch of the United Kingdom ?,3,29
679,What is a fear of passing high objects ?,1,7
680,What do players try to do when the music stops in a game of musical chairs ?,2,25
681,What are the top ten most common girl names in the US ?,3,29
682,Why is black the color of mourning in the West ?,2,27
683,What is the rarest coin ?,1,13
684,What Judith Rossner novel was made into a film starring Diane Keaton ?,1,5
685,Which country is Australia 's largest export market ?,4,33
686,Where is the Kentucky Horse Park located ?,4,35
687,What is a fear of parasites ?,1,7
688,In what Olympic Games did Nadia Comaneci become popular ?,1,17
689,Who does data collection in tourism ?,3,29
690,What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?,3,29
691,What is the leading pecan and peanut growing state ?,4,36
692,What does a nihilist believe in ?,2,25
693,What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?,2,25
694,"In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?",1,17
695,Who were the four famous founders of United Artists ?,3,29
696,What 2 statues did France give to other countries ?,1,5
697,What are amphibians ?,2,24
698,How many sperm cells are in an average ejaculation ?,5,38
699,Name the disposable razor that `` costs about 19 cents . '',1,15
700,How far do you have to run if you hit a home run ?,5,40
701,Who was the only U.S. President to wear a Nazi uniform ?,3,29
702,Woodrow Wilson served as president of what university ?,3,28
703,Where are the tropical rain forest distributions ?,4,35
704,What 's the nickname of oddsmaker Jimmy Snyder ?,3,29
705,What is the fear of being loved ?,1,7
706,What was the number of people that Randy Steven Craft was convicted of killing ?,5,43
707,What was Queen Victoria 's title regarding India ?,3,30
708,How is a hydrogen bomb different from a nuclear bomb ?,2,26
709,How far can a man travel in outer space ?,5,40
710,Where was Lincoln assassinated ?,4,35
711,What type of food makes you fat ?,1,9
712,What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?,1,7
713,What was the U.S. highway death toll in 1969 ?,5,38
714,"What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?",1,2
715,What are the shortest and the longest songs ever produced ?,1,5
716,What letter is to the right of K on a typewriter keyboard ?,1,12
717,"What is the origin and the meaning of the name , `` Hajo ? ''",2,25
718,What is the plural of gulf ?,1,23
719,Whose autobiography is titled Yes I Can ?,3,29
720,What year did the United States pass the Copyright law ?,5,39
721,What percentage of Americans own their homes ?,5,45
722,What 's the first day of the week ?,5,39
723,What city was President William McKinley shot in ?,4,32
724,What city has the world 's longest subway system ?,4,32
725,"Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?",3,29
726,What is Bombay duck ?,2,24
727,How many degrees cooler is the inside of a cucumber than the air outside ?,5,38
728,What double talking `` professor '' holds a doctorate in Nothing ?,3,29
729,What are the five most expensive cities in the world ?,4,32
730,What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?,3,29
731,How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?,5,38
732,What is a virtual IP address ?,2,24
733,What was the name of the cook on Rawhide ?,3,29
734,What county is Chicago in ?,4,35
735,What is the wingspan of a condor ?,5,40
736,What facial feature typically contains about 55 hairs ?,2,25
737,"Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage .",3,29
738,How can I transport files from one computer to another ?,2,26
739,What 's the literary term for a play on words ?,1,21
740,What color were their horses ?,1,4
741,What does an average daycare provider get paid in New England ?,5,41
742,What author landed a 468-pound marlin without harness in the early 193 's ?,3,29
743,How many Americans fought for the British in the American Revolution ?,5,38
744,What kind of education do I need to become a flight attendant ?,1,13
745,What are the two languages of Malta ?,1,11
746,How many oceans are there and name them ?,5,38
747,What happened during the Blackhawk Indian war of 1832 ?,2,25
748,How many pairs of legs does a lobster have ?,5,38
749,What does the Latin ante mortem mean ?,2,24
750,What does the name Shawn mean ?,2,24
751,Where is the Danube ?,4,35
752,"What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?",3,29
753,What do you call a group of geese ?,1,2
754,"Who delivered his last newscast on March 6 , 1981 ?",3,29
755,"How many times has `` Louie , Louie '' been recorded ?",5,38
756,How is Answers.com different from KnowPost.com ?,2,26
757,What is the longest place name in the U.S. ?,4,35
758,What percent liked Thatcher after she had been in power for a decade ?,5,45
759,"Where does Buzz Aldrin want to build a permanent , manned space station ?",4,35
760,What was Mel Gibson 's first movie ?,1,5
761,Why was the L.A. office of Shea and Gould closed ?,2,27
762,How do I start a bank ?,2,26
763,How do Ouija Boards work ?,2,26
764,What horse did Zorro ride ?,1,2
765,How do you get a broken cork out of a bottle ?,2,26
766,Where can I find correct tabs for Third Eye Blind songs ?,4,35
767,How do you determine heating requirements for your home ?,2,26
768,What former major-league left-handed baseball pitcher was known as `` Space Man '' ?,3,29
769,"Which hair care product told us `` hate that gray , wash it away '' ?",1,15
770,Why did the chicken cross the road ?,2,27
771,What was Michelangelo 's last name ?,3,29
772,Who is Barbara Jordan ?,3,31
773,Who was the Democratic nominee in the American presidential election ?,3,29
774,What was Connecticut 's first constitution called ?,1,5
775,What historical event happened in Dogtown in 1899 ?,1,8
776,What is being done about the millennium bug ?,2,24
777,What was the claim to fame of King Camp Gillette ?,2,27
778,What is the most common kind of skin cancer in the U.S. ?,1,7
779,What is Olestra ?,2,24
780,What Asian country has a bill of rights for cows ?,4,33
781,How many fingers are used to draw a bow ?,5,38
782,What are two plants that clothes are made from ?,1,14
783,When was Hurricane Hugo ?,5,39
784,What is the most heavily caffeinated soft drink ?,1,9
785,What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?,3,29
786,What was the price of Varian Associates ' vacuum products division ?,5,41
787,When was `` the Great Depression '' ?,5,39
788,What language is mostly spoken in Brazil ?,1,11
789,What college produced the most winning Super Bowl quarterbacks ?,3,28
790,How do you solve `` Rubik 's Cube '' ?,2,26
791,What is prepared mustard ?,2,24
792,What classical Spanish writer warned : `` All that glitters is not gold '' ?,3,29
793,What does `` antidisestablishmentarianism '' mean ?,2,24
794,What actor married John F. Kennedy 's sister ?,3,29
795,What does a topophobic actor suffer from ?,1,7
796,Who fired Maria Ybarra from her position in San Diego council ?,3,29
797,"The italian artist , Maurizio Pellegrin , is how old ?",5,44
798,What type of hunting are retrievers used for ?,1,13
799,What is Colin Powell best known for ?,2,27
800,Who was the first black golfer to tee off in the Masters ?,3,29
801,What city is the setting for Puccini 's opera La Boheme ?,4,32
802,What U.S. President showed a fondness for munching on bee pollen bars ?,3,29
803,What is measured in curies ?,2,24
804,Whose cover is that of an employee of Universal Import and Export ?,3,29
805,What former president 's daughter has written a book titled Murder in the White House ?,3,29
806,What fictional character is known as the `` melancholy Dane '' ?,3,29
807,Italy is the largest producer of what ?,1,15
808,What longtime game show host dropped dead while jogging in Central Park in 1984 ?,3,29
809,"What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''",2,24
810,Who were the `` filthiest people alive ? '',3,29
811,What infectious disease is the world 's deadliest ?,1,7
812,What is Spumante ?,2,24
813,In what year did Ireland elect its first woman president ?,5,39
814,What is an isthmus ?,2,24
815,What was the name of the orca that died of a fungal infection ?,1,2
816,Where is Mozambique located ?,4,35
817,What is Mississippi 's state animal ?,1,2
818,What 's the origin of the word ` news ' ?,2,25
819,What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?,1,13
820,How many months does a normal human pregnancy last ?,5,38
821,How do fuel injectors work ?,2,26
822,How can your school march in the Macy 's Thanksgiving Parade ?,2,26
823,What is the real name of disc jockey `` Wolfman Jack '' ?,3,29
824,What Italian liner was hijacked in 1985 ?,1,22
825,What city houses the U.S. headquarters of Procter and Gamble ?,4,32
826,What soap was touted as being `` for people who like people '' ?,1,15
827,How much was the minimum wage in 1991 ?,5,41
828,What does NAFTA stand for ?,0,1
829,Who invented silly putty ?,3,29
830,"What new middle school was built in Philadelphia , Pennsylvania last year ?",3,28
831,Who patented the first phonograph ?,3,29
832,What are some tips for building a fire in a fireplace ?,1,20
833,What do manatees eat ?,1,9
834,How do you say 2 in Latin ?,1,21
835,What were popular songs and types of songs in the 1920s ?,1,5
836,How many Vietnamese were there in the Soviet Union ?,5,38
837,What is November 's birthstone ?,1,13
838,What is a Certified Nurse Midwife ?,2,24
839,"On average , how many miles are there to the moon ?",5,38
840,Who created private detective Philip Marlowe ?,3,29
841,"What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?",1,5
842,What is the origin of the expression `` tout de suite '' ?,2,25
843,What is the longest English word ?,1,23
844,What is the purpose of a car bra ?,2,27
845,What is D.B. Cooper known for ?,2,27
846,Who is Colin Powell ?,3,31
847,What species is a colt ?,1,2
848,What is the full name of the PLO ?,0,1
849,What is the smallest country in Africa ?,4,33
850,Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?,3,29
851,What age followed the Bronze Age ?,1,8
852,What is her profession ?,3,30
853,What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?,3,29
854,What does the word LASER mean ?,0,1
855,What does the name `` Anthony '' mean ?,2,24
856,Who was Lauren Bacall 's first husband ?,3,29
857,What is a rhomboideus minor ?,2,24
858,How many hands does Bjorn Borg use when hitting his forehand ?,5,38
859,How many people died on D-Day ?,5,38
860,"What U.S. Congressman said : `` Keep the faith , baby '' .",3,29
861,Who created the character of Scrooge ?,3,29
862,What is the student population at the University of Massachusetts in Amherst ?,5,43
863,Where is Windsor Castle ?,4,35
864,When did the Dow first reach ?,5,39
865,Why were people recruited for the Vietnam War ?,2,27
866,What party was Winston Churchill a member of ?,3,28
867,What American League baseball team 's worst finish between 1926 and 1964 was fourth ?,3,28
868,Where can I find the names of all the 15 Pokemon ?,4,35
869,What state does Martha Stewart live in ?,4,36
870,Which killer whale died at Sea World of a fungal infection ?,1,2
871,What are the Benelux countries ?,4,33
872,Where 's the Petrified Forest ?,4,35
873,What is a language spoken by the Sioux ?,1,11
874,Where is Tornado Alley ?,4,35
875,Who was the author of `` John Brown 's Body '' ?,3,29
876,What American poet wrote : `` Good fences make good neighbors '' ?,3,29
877,What state in the U.S. has the most blacks ?,4,36
878,Why are electric cars less efficient in the northeast than in California ?,2,27
879,What was the occupation of Mandy Rice-Davies ?,3,30
880,What is the city in which Maurizio Pellegrin lives called ?,4,32
881,Who painted the Sistine Chapel ?,3,29
882,Name the various costumed personas of Dr. Henry Pym .,3,29
883,What breed of dog was the `` Little Rascals '' dog ?,1,2
884,What are the living conditions in Cuba ?,2,25
885,What color are school buses ?,1,4
886,What is the oldest website on the Internet ?,4,35
887,"What events happened January 26 , 1978 ?",1,8
888,What explorers followed Columbus to the Americas ?,3,29
889,Who is actress Goldie Hawn 's current actor boyfriend ?,3,29
890,Who banned Peter Rose from baseball for betting on games ?,3,29
891,What are the seven virtues ?,2,24
892,What other name were the `` Little Rascals '' known as ?,1,21
893,When was the San Francisco fire ?,5,39
894,What is a fear of food ?,1,7
895,"How many casinos are in Atlantic City , NJ ?",5,38
896,What year did the Vietnam War end ?,5,39
897,What are the names of Richard Nixon 's two daughters ?,3,29
898,What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?,1,23
899,What is the chromosome number of an elephant ?,5,38
900,What organization was founded by the Rev. Jerry Falwell ?,3,28
901,What 's the longest river in the world ?,4,35
902,Which soft drink does Madonna advertise for ?,1,9
903,What company is being bought by Yahoo and how much is the deal worth ?,3,28
904,When was Berlin 's Brandenburg gate erected ?,5,39
905,How many double-word-score spaces are there on a Scrabble Crossword Game board ?,5,38
906,What year did Germany sign its nonaggression pact with the Soviet Union ?,5,39
907,What mountain range is traversed by the highest railroad in the world ?,4,34
908,Why were the American soldiers in WWI called `` Doughboys '',2,27
909,Who was nicknamed The Little Corporal ?,3,29
910,How many CDs has Garth Brooks sold ?,5,38
911,Name the vessel used by the Atari Force in the DC comics .,1,22
912,Where are the leading medical groups specializing in lung diseases ?,4,35
913,"How can I find online spelling , and punctuation drills for my 6th grader ?",2,26
914,What 's the sacred river of India ?,4,35
915,What is Stefan Edberg 's native country ?,4,33
916,What is the only gland in humans that can regenerate itself ?,1,3
917,How many Gutenberg Bibles are there ?,5,38
918,Name the largest country in South America .,4,33
919,What astronomical phenomenon takes place in Jan. 1999 ?,1,8
920,What information can you get me on Fairground Park in St. Louis,2,25
921,What was American folk hero John Chapman 's nickname ?,3,29
922,What is the difference between a median and a mean ?,2,25
923,What was the top box office movie in April 1998 ?,1,5
924,What makes thunder ?,2,27
925,What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,3,29
926,"Which is the largest clock , diameter wise , in Europe ?",1,13
927,What plant is rum made from ?,1,14
928,What country are Godiva chocolates from ?,4,33
929,"Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?",3,29
930,Which condiment was once sold as a patent medicine ?,1,9
931,What U.S. state records the least rainfall ?,4,36
932,Why did the world enter a global depression in 1929 ?,2,27
933,"What was archy , and mehitabel ?",2,24
934,What Texas city got its name from the Spanish for `` yellow '' ?,4,32
935,What are the chemicals used in glowsticks ?,1,18
936,What country did the Nile River originate in ?,4,33
937,What color are tennis balls ?,1,4
938,What barroom judge called himself The Law West of the Pecos ?,3,29
939,What excuse did the NATO people give for hitting the Chinese embassy ?,2,25
940,Who was President of Costa Rica in 1994 ?,3,29
941,What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,1,17
942,What country has the best defensive position in the board game Diplomacy ?,4,33
943,What two countries share the Khyber Pass ?,4,33
944,Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?,3,29
945,What is the origin of the surname of Braun ?,2,25
946,"What card game has variations called Canfield , Klondike and Spider ?",1,17
947,What is Australia Day ?,2,24
948,What mammal of North America is the world 's longest-lived for its size ?,1,2
949,What was the Chivington Massacre ?,2,24
950,"What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?",3,29
951,How many home runs did Lou Gehrig have during his career ?,5,38
952,In what city is the headquarters of Sinn Fein ?,4,32
953,Where can I find information on George Bush ?,4,35
954,Who is the voice of Miss Piggy ?,3,29
955,What is the dialogue circle in cartoons called ?,1,21
956,"What does the word camaro mean , from the GM car the Camaro ?",2,24
957,Who replaced Bert Parks as the host of The Miss America Pageant ?,3,29
958,How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?,5,38
959,What is the AIM-54C Phoenix ?,2,24
960,When are sheep shorn ?,5,39
961,What sport is Chris Jogis a top player of ?,1,17
962,What 's the second-largest island in the world ?,4,35
963,What is the definition of low island ?,2,24
964,What century does Captain Video live in ?,5,39
965,What types of water pollution are there ?,1,13
966,How many astronauts manned each Project Mercury flight ?,5,38
967,What soft drink would provide me with the biggest intake of caffeine ?,1,9
968,What 's the name of a golf course in Myrtle Beach ?,1,13
969,What are some of the significant historical events of the 1990s ?,1,8
970,Name the only extant trilogy of classical Greek plays .,1,5
971,Where is Logan Airport ?,4,35
972,What is the difference between Neoclassical art and Romanticism art ?,2,25
973,Who was the first person inducted into the U.S. Swimming Hall of Fame ?,3,29
974,What golfer has been called Ohio Fats and Blobbo ?,3,29
975,Who murdered Leno and Rosemary LaBianca on August 1,3,29
976,What is the average cost for four years of medical school ?,5,41
977,What does God create in the first sentence of the Bible ?,1,13
978,Which of the following men was not married to Rita Hayworth ?,3,29
979,What is the current ticket fare from from Cairo to Barbados ?,5,41
980,What does NN O `` mean when used as a prefix in Irish surnames ?,0,1
981,How do you find oxidation numbers ?,2,26
982,What is the state nickname of Mississippi ?,4,36
983,"What is Black Hills , South Dakota most famous for ?",2,27
984,What 1966 boob tube bomb took astronauts back to prehistoric times ?,1,5
985,How many students attend the University of Massachusetts ?,5,38
986,"Who said , `` I shall return . '' during World War Two ?",3,29
987,What holidays are celebrated in Ireland ?,1,8
988,"Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?",3,29
989,What are the Greek numerals ?,2,24
990,What 's the name of the temple that is located near the capital city of Laos ?,4,35
991,What is a fear of sleep ?,1,7
992,What auto race was Wilbur Reed the first to win three times ?,1,17
993,What are the most common breeding birds in the U.S. ?,1,2
994,"What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?",1,8
995,How do you look up criminal records on the Internet ?,2,26
996,"Where is the actress , Marion Davies , buried ?",4,35
997,What is an example of an actual case of using the Fourteenth Amendment ?,2,25
998,Who was the Charlie perfume woman ?,3,29
999,Who portrayed `` Rosanne Rosanna-Dana '' on the television show `` Saturday Night Live '' ?,3,29
